iter	Passed	Remaining
0	152	152210
1	300	150181
2	452	150278
3	605	150728
4	749	149179
5	875	145101
6	1000	141995
7	1123	139304
8	1247	137415
9	1378	136460
10	1522	136842
11	1654	136189
12	1777	134922
13	1913	134797
14	2067	135787
15	2222	136691
16	2335	135069
17	2472	134897
18	2589	133678
19	2725	133569
20	2853	133048
21	2993	133066
22	3128	132875
23	3267	132896
24	3429	133753
25	3568	133696
26	3736	134639
27	3874	134510
28	4051	135662
29	4202	135884
30	4337	135578
31	4469	135187
32	4609	135085
33	4749	134938
34	4914	135509
35	5048	135178
36	5207	135525
37	5343	135275
38	5451	134319
39	5591	134192
40	5733	134113
41	5904	134668
42	6040	134445
43	6177	134227
44	6318	134094
45	6459	133963
46	6591	133648
47	6714	133168
48	6864	133224
49	7020	133384
50	7145	132954
51	7307	133221
52	7447	133072
53	7582	132840
54	7718	132614
55	7828	131970
56	7931	131219
57	8075	131157
58	8236	131369
59	8354	130886
60	8496	130785
61	8646	130806
62	8759	130286
63	8948	130868
64	9077	130573
65	9207	130306
66	9338	130048
67	9476	129877
68	9635	130015
69	9815	130402
70	9956	130275
71	10046	129484
72	10199	129518
73	10352	129541
74	10448	128861
75	10579	128625
76	10771	129117
77	10884	128663
78	11028	128567
79	11172	128484
80	11296	128168
81	11432	127983
82	11562	127739
83	11682	127395
84	11803	127061
85	11928	126774
86	12059	126555
87	12189	126323
88	12281	125716
89	12416	125549
90	12546	125332
91	12705	125397
92	12838	125206
93	12964	124956
94	13086	124669
95	13217	124465
96	13350	124284
97	13494	124206
98	13627	124020
99	13768	123915
100	13918	123886
101	14028	123508
102	14162	123340
103	14292	123136
104	14422	122931
105	14551	122725
106	14707	122746
107	14907	123123
108	15036	122914
109	15220	123145
110	15358	123002
111	15488	122798
112	15631	122699
113	15772	122582
114	15937	122645
115	16055	122356
116	16167	122016
117	16301	121849
118	16430	121643
119	16561	121453
120	16671	121112
121	16810	120983
122	16952	120873
123	17105	120842
124	17209	120463
125	17428	120891
126	17573	120797
127	17692	120529
128	17829	120381
129	17961	120204
130	18117	120187
131	18233	119899
132	18363	119710
133	18498	119551
134	18625	119343
135	18805	119471
136	18956	119410
137	19089	119239
138	19201	118940
139	19353	118884
140	19497	118779
141	19607	118471
142	19763	118444
143	19925	118447
144	20070	118349
145	20230	118332
146	20354	118112
147	20510	118074
148	20640	117886
149	20728	117462
150	20863	117303
151	20988	117093
152	21123	116936
153	21259	116790
154	21409	116714
155	21570	116702
156	21702	116529
157	21857	116482
158	21987	116300
159	22126	116166
160	22254	115969
161	22357	115651
162	22491	115494
163	22627	115342
164	22748	115120
165	22890	115003
166	23042	114936
167	23135	114576
168	23253	114339
169	23416	114327
170	23594	114383
171	23727	114222
172	23888	114195
173	24054	114188
174	24191	114044
175	24353	114020
176	24484	113847
177	24625	113720
178	24776	113638
179	24904	113454
180	25004	113141
181	25146	113019
182	25320	113041
183	25478	112990
184	25611	112830
185	25762	112746
186	25895	112584
187	26062	112565
188	26184	112357
189	26343	112308
190	26461	112081
191	26583	111874
192	26732	111778
193	26879	111675
194	27006	111487
195	27132	111299
196	27288	111232
197	27407	111013
198	27528	110806
199	27685	110741
200	27838	110661
201	28002	110623
202	28169	110595
203	28292	110396
204	28393	110110
205	28573	110134
206	28740	110102
207	28864	109906
208	29009	109793
209	29146	109646
210	29279	109487
211	29394	109260
212	29530	109110
213	29653	108912
214	29759	108656
215	29899	108524
216	30056	108451
217	30185	108278
218	30320	108129
219	30453	107970
220	30580	107793
221	30730	107696
222	30892	107640
223	31057	107591
224	31194	107447
225	31336	107319
226	31468	107158
227	31618	107057
228	31749	106895
229	31853	106640
230	31996	106516
231	32132	106370
232	32269	106227
233	32402	106069
234	32601	106128
235	32727	105946
236	32868	105816
237	32992	105632
238	33130	105492
239	33251	105296
240	33368	105088
241	33485	104882
242	33615	104721
243	33772	104637
244	33949	104621
245	34088	104483
246	34273	104485
247	34410	104340
248	34583	104305
249	34724	104173
250	34915	104190
251	35045	104023
252	35188	103896
253	35344	103807
254	35506	103733
255	35666	103654
256	35823	103566
257	35944	103374
258	36062	103174
259	36193	103012
260	36356	102940
261	36496	102804
262	36619	102618
263	36770	102512
264	36917	102394
265	37101	102378
266	37311	102431
267	37452	102294
268	37598	102172
269	37731	102014
270	37823	101747
271	37989	101677
272	38118	101509
273	38278	101424
274	38442	101349
275	38579	101202
276	38714	101048
277	38831	100850
278	39009	100809
279	39129	100619
280	39278	100503
281	39443	100427
282	39576	100269
283	39674	100025
284	39808	99869
285	39948	99732
286	40092	99603
287	40229	99456
288	40409	99416
289	40538	99249
290	40633	99000
291	40811	98954
292	40934	98772
293	41077	98643
294	41212	98490
295	41338	98318
296	41498	98227
297	41622	98050
298	41755	97894
299	41905	97779
300	42026	97597
301	42149	97419
302	42265	97225
303	42407	97089
304	42547	96953
305	42695	96832
306	42826	96672
307	42985	96578
308	43085	96350
309	43225	96211
310	43362	96066
311	43561	96058
312	43693	95901
313	43826	95748
314	44024	95736
315	44153	95572
316	44285	95416
317	44419	95264
318	44560	95126
319	44694	94976
320	44826	94820
321	45033	94822
322	45195	94728
323	45329	94576
324	45497	94494
325	45642	94364
326	45806	94274
327	45958	94159
328	46123	94069
329	46295	93994
330	46475	93932
331	46627	93815
332	46744	93629
333	46910	93540
334	47072	93441
335	47215	93307
336	47340	93136
337	47477	92988
338	47629	92869
339	47777	92744
340	47942	92650
341	48078	92501
342	48203	92332
343	48374	92249
344	48487	92056
345	48645	91948
346	48773	91784
347	48937	91687
348	49063	91518
349	49187	91348
350	49318	91189
351	49462	91056
352	49646	90994
353	49798	90876
354	49943	90742
355	50079	90593
356	50238	90485
357	50384	90354
358	50585	90320
359	50729	90186
360	50861	90028
361	51067	90002
362	51206	89859
363	51350	89722
364	51534	89656
365	51657	89483
366	51773	89299
367	51919	89166
368	52053	89012
369	52232	88936
370	52348	88751
371	52516	88656
372	52701	88588
373	52839	88443
374	52971	88286
375	53091	88108
376	53245	87988
377	53385	87846
378	53524	87700
379	53668	87564
380	53802	87411
381	53934	87254
382	54075	87114
383	54262	87045
384	54378	86864
385	54515	86716
386	54709	86658
387	54845	86508
388	55019	86419
389	55158	86272
390	55322	86167
391	55444	85996
392	55660	85968
393	55804	85830
394	55945	85688
395	56063	85510
396	56243	85428
397	56362	85251
398	56497	85100
399	56636	84954
400	56759	84785
401	56907	84653
402	57023	84473
403	57200	84385
404	57413	84347
405	57579	84242
406	57746	84136
407	57920	84041
408	58049	83881
409	58188	83734
410	58357	83631
411	58536	83541
412	58679	83401
413	58814	83249
414	58926	83065
415	59100	82968
416	59236	82817
417	59377	82674
418	59513	82524
419	59648	82371
420	59783	82220
421	59895	82037
422	60007	81854
423	60156	81721
424	60329	81622
425	60468	81476
426	60596	81315
427	60771	81217
428	60908	81069
429	61075	80961
430	61223	80826
431	61339	80650
432	61443	80458
433	61572	80300
434	61735	80185
435	61927	80108
436	62072	79970
437	62262	79888
438	62401	79742
439	62534	79588
440	62676	79446
441	62822	79309
442	62952	79152
443	63098	79014
444	63232	78863
445	63431	78791
446	63595	78676
447	63730	78524
448	63864	78372
449	63995	78216
450	64132	78068
451	64280	77932
452	64440	77812
453	64560	77643
454	64740	77546
455	64883	77404
456	65043	77283
457	65179	77133
458	65384	77065
459	65579	76984
460	65698	76814
461	65828	76656
462	65951	76491
463	66101	76358
464	66240	76212
465	66373	76059
466	66525	75927
467	66699	75820
468	66833	75668
469	66996	75549
470	67146	75414
471	67284	75267
472	67427	75125
473	67595	75010
474	67735	74865
475	67846	74688
476	67980	74536
477	68187	74464
478	68332	74323
479	68542	74254
480	68683	74109
481	68825	73966
482	68976	73832
483	69125	73695
484	69270	73555
485	69454	73456
486	69652	73371
487	69755	73185
488	69881	73025
489	70022	72880
490	70187	72760
491	70342	72630
492	70477	72478
493	70618	72333
494	70764	72194
495	70908	72052
496	71044	71902
497	71176	71748
498	71308	71594
499	71454	71454
500	71602	71317
501	71738	71166
502	71888	71030
503	72004	70861
504	72165	70736
505	72315	70600
506	72464	70463
507	72621	70334
508	72792	70218
509	72924	70064
510	73059	69914
511	73216	69784
512	73352	69635
513	73465	69463
514	73624	69335
515	73815	69237
516	73946	69083
517	74095	68945
518	74228	68793
519	74355	68635
520	74492	68487
521	74621	68331
522	74807	68227
523	74922	68059
524	75103	67950
525	75249	67810
526	75380	67656
527	75534	67523
528	75671	67374
529	75814	67231
530	75956	67087
531	76070	66918
532	76177	66744
533	76278	66565
534	76408	66411
535	76568	66283
536	76710	66139
537	76859	66001
538	77016	65871
539	77162	65731
540	77327	65606
541	77486	65477
542	77648	65350
543	77792	65208
544	77964	65089
545	78159	64989
546	78354	64889
547	78455	64711
548	78595	64565
549	78709	64398
550	78844	64248
551	78950	64075
552	79099	63937
553	79243	63795
554	79406	63668
555	79547	63523
556	79706	63393
557	79839	63242
558	79969	63088
559	80132	62961
560	80250	62798
561	80416	62673
562	80545	62519
563	80702	62386
564	80816	62221
565	80944	62067
566	81089	61925
567	81249	61795
568	81376	61640
569	81539	61512
570	81657	61350
571	81796	61204
572	81918	61045
573	82073	60911
574	82186	60746
575	82343	60613
576	82476	60463
577	82638	60334
578	82776	60188
579	82892	60025
580	83036	59883
581	83200	59755
582	83370	59632
583	83535	59504
584	83650	59341
585	83800	59203
586	83968	59078
587	84099	58926
588	84259	58795
589	84391	58644
590	84524	58495
591	84735	58398
592	84913	58279
593	85046	58129
594	85262	58036
595	85394	57884
596	85517	57727
597	85657	57582
598	85794	57435
599	85923	57282
600	86066	57139
601	86218	57001
602	86355	56854
603	86515	56722
604	86654	56575
605	86816	56444
606	86976	56312
607	87140	56182
608	87269	56030
609	87441	55905
610	87626	55788
611	87801	55665
612	87921	55506
613	88060	55360
614	88229	55232
615	88321	55057
616	88496	54934
617	88639	54790
618	88772	54640
619	88915	54496
620	89093	54374
621	89235	54230
622	89376	54085
623	89484	53920
624	89602	53761
625	89736	53612
626	89872	53464
627	89990	53306
628	90113	53150
629	90276	53019
630	90440	52888
631	90603	52756
632	90713	52593
633	90845	52444
634	90987	52299
635	91106	52142
636	91284	52019
637	91437	51881
638	91575	51735
639	91714	51589
640	91866	51450
641	92013	51309
642	92158	51167
643	92284	51014
644	92418	50865
645	92527	50704
646	92702	50578
647	92837	50430
648	92999	50297
649	93141	50152
650	93238	49985
651	93360	49830
652	93491	49680
653	93640	49540
654	93792	49402
655	93952	49267
656	94131	49142
657	94265	48995
658	94441	48868
659	94560	48713
660	94670	48552
661	94816	48410
662	94993	48284
663	95140	48143
664	95282	47999
665	95404	47845
666	95541	47699
667	95654	47540
668	95774	47386
669	95917	47242
670	96037	47088
671	96283	46995
672	96414	46846
673	96582	46714
674	96711	46564
675	96860	46424
676	96984	46271
677	97148	46138
678	97302	46000
679	97415	45842
680	97552	45696
681	97721	45565
682	97855	45417
683	98010	45279
684	98170	45144
685	98329	45007
686	98482	44869
687	98597	44713
688	98722	44561
689	98857	44414
690	99003	44272
691	99144	44128
692	99284	43983
693	99428	43840
694	99535	43680
695	99663	43531
696	99792	43381
697	100010	43270
698	100181	43139
699	100343	43004
700	100547	42886
701	100702	42748
702	100833	42599
703	100982	42458
704	101116	42311
705	101247	42162
706	101392	42019
707	101561	41887
708	101701	41742
709	101837	41595
710	101982	41452
711	102086	41293
712	102247	41157
713	102403	41018
714	102545	40874
715	102679	40727
716	102827	40586
717	102946	40432
718	103094	40291
719	103248	40152
720	103464	40036
721	103635	39903
722	103775	39758
723	103878	39600
724	104010	39452
725	104207	39329
726	104347	39183
727	104528	39054
728	104667	38909
729	104868	38786
730	105045	38655
731	105173	38506
732	105287	38351
733	105430	38207
734	105575	38064
735	105710	37917
736	105842	37770
737	105983	37625
738	106147	37489
739	106290	37345
740	106431	37200
741	106543	37046
742	106703	36908
743	106851	36765
744	106989	36620
745	107118	36471
746	107267	36330
747	107462	36203
748	107620	36065
749	107722	35907
750	107849	35758
751	108017	35622
752	108180	35485
753	108328	35343
754	108427	35185
755	108543	35032
756	108673	34884
757	108835	34747
758	108965	34599
759	109117	34458
760	109259	34314
761	109391	34166
762	109531	34022
763	109672	33877
764	109840	33741
765	109983	33598
766	110099	33446
767	110268	33310
768	110410	33166
769	110630	33045
770	110796	32908
771	110974	32774
772	111099	32625
773	111252	32484
774	111451	32356
775	111577	32207
776	111722	32064
777	111912	31933
778	112070	31794
779	112203	31647
780	112328	31497
781	112469	31353
782	112635	31215
783	112792	31075
784	112934	30931
785	113083	30788
786	113230	30645
787	113398	30508
788	113523	30359
789	113668	30215
790	113823	30074
791	113952	29926
792	114120	29789
793	114302	29655
794	114406	29501
795	114538	29354
796	114666	29206
797	114878	29079
798	114994	28928
799	115138	28784
800	115254	28633
801	115395	28489
802	115589	28357
803	115705	28206
804	115844	28061
805	116006	27922
806	116131	27773
807	116308	27637
808	116467	27497
809	116603	27351
810	116774	27213
811	116921	27070
812	117096	26933
813	117310	26805
814	117468	26664
815	117596	26516
816	117723	26368
817	117909	26234
818	118049	26088
819	118180	25942
820	118302	25793
821	118439	25647
822	118555	25497
823	118667	25346
824	118798	25199
825	118944	25056
826	119087	24911
827	119200	24761
828	119352	24619
829	119499	24475
830	119618	24326
831	119771	24184
832	119947	24047
833	120123	23909
834	120266	23765
835	120438	23626
836	120574	23480
837	120719	23337
838	120856	23191
839	120994	23046
840	121152	22905
841	121316	22764
842	121460	22620
843	121632	22481
844	121834	22348
845	121945	22198
846	122102	22056
847	122271	21916
848	122402	21770
849	122509	21619
850	122621	21469
851	122730	21319
852	122874	21175
853	123084	21042
854	123248	20901
855	123422	20762
856	123616	20626
857	123763	20482
858	123903	20338
859	124024	20190
860	124236	20056
861	124391	19914
862	124526	19768
863	124732	19633
864	124873	19488
865	125047	19349
866	125188	19204
867	125333	19059
868	125510	18920
869	125676	18779
870	125848	18638
871	126020	18498
872	126168	18354
873	126294	18207
874	126440	18062
875	126585	17918
876	126750	17776
877	126894	17632
878	127053	17489
879	127224	17348
880	127363	17203
881	127530	17061
882	127687	16918
883	127822	16773
884	127961	16627
885	128108	16483
886	128262	16340
887	128379	16191
888	128541	16049
889	128686	15905
890	128862	15764
891	128994	15618
892	129193	15480
893	129374	15339
894	129565	15200
895	129791	15065
896	129953	14922
897	130127	14780
898	130281	14636
899	130504	14500
900	130630	14353
901	130748	14205
902	130860	14057
903	130997	13911
904	131147	13766
905	131292	13621
906	131411	13474
907	131604	13334
908	131753	13189
909	131885	13043
910	132022	12897
911	132158	12752
912	132293	12606
913	132406	12458
914	132602	12318
915	132766	12175
916	132938	12032
917	133079	11887
918	133238	11743
919	133369	11597
920	133530	11453
921	133668	11308
922	133822	11163
923	133958	11018
924	134165	10878
925	134339	10735
926	134492	10591
927	134624	10444
928	134760	10299
929	134881	10152
930	135065	10010
931	135240	9867
932	135378	9721
933	135493	9574
934	135633	9429
935	135798	9285
936	135934	9139
937	136102	8996
938	136259	8851
939	136413	8707
940	136559	8562
941	136671	8415
942	136860	8272
943	136996	8126
944	137185	7984
945	137357	7840
946	137474	7693
947	137590	7547
948	137752	7402
949	137943	7260
950	138104	7115
951	138272	6971
952	138416	6826
953	138602	6683
954	138735	6537
955	138906	6393
956	139056	6248
957	139198	6102
958	139318	5956
959	139470	5811
960	139615	5665
961	139776	5521
962	139945	5376
963	140141	5233
964	140250	5086
965	140387	4941
966	140517	4795
967	140661	4649
968	140787	4504
969	140970	4359
970	141143	4215
971	141340	4071
972	141543	3927
973	141730	3783
974	141869	3637
975	141969	3491
976	142127	3345
977	142301	3201
978	142473	3056
979	142652	2911
980	142797	2765
981	142958	2620
982	143120	2475
983	143288	2329
984	143433	2184
985	143580	2038
986	143690	1892
987	143831	1746
988	143950	1601
989	144090	1455
990	144204	1309
991	144349	1164
992	144473	1018
993	144632	873
994	144793	727
995	144957	582
996	145076	436
997	145214	291
998	145381	145
999	145510	0
